posteam,avg_defensive_epa,avg_defensive_pressure_rate,avg_defensive_explosive_play_rate
ARI,0.062281235,0.041819516,0.080704329
ATL,-0.018029573,0.063577586,0.065732759
BAL,-0.109907636,0.080296479,0.058678196
BUF,-0.044337077,0.080428954,0.069705094
CAR,0.056685722,0.059701493,0.082089552
CHI,-0.035204333,0.052072264,0.066950053
CIN,0.008811697,0.077998528,0.08388521
CLE,-0.168597059,0.086772487,0.061375661
DAL,-0.053776168,0.068723703,0.070126227
DEN,0.01085087,0.06641001,0.071222329
DET,-0.010472351,0.084269663,0.076779026
GB,0.005546624,0.074951954,0.073030109
HOU,-0.038807738,0.084762866,0.067608476
IND,-0.023396812,0.071504803,0.064034152
JAX,-0.038773457,0.075757576,0.062770563
KC,-0.064324231,0.085017836,0.052318668
LA,7.85E-05,0.065481002,0.06952304
LAC,-0.015585334,0.065400844,0.072433193
LV,-0.067303611,0.064794816,0.063354932
MIA,-0.014537529,0.093559322,0.059661017
MIN,-0.032643109,0.064102564,0.057692308
NE,-0.065546301,0.054648687,0.053938964
NO,-0.109492735,0.05248023,0.073328541
NYG,-0.031677171,0.055994257,0.076812635
NYJ,-0.107194969,0.070323488,0.062587904
PHI,0.049797158,0.068511199,0.072463768
PIT,-0.049500189,0.072874494,0.074224022
SEA,0.040194761,0.067255435,0.075407609
SF,-0.023173731,0.08183509,0.062616243
TB,-0.03700854,0.064119171,0.069300518
TEN,0.033262448,0.058156028,0.065957447
WAS,0.087675522,0.0453284,0.071230342
